model_year,brand,model,type,miles_per_gallon,premium_version,msrp,collection_car,,,,,
2019,Buick,Enclave Avenir,SUV,18,1,58000,0,,,,,
2013,BMW,750 Li xDrive,Sedan,18,1,81800,0,,,,,
1999,Toyota,Camry Solara SLE V6,Coupe,20,1,24000,0,,,,,
2017,Acura,ILX Technology Plus Package,Sedan,25,1,30450,0,,,,,
2015,RAM,1500 Big Horn,Pickup,20,0,39700,0,,,,,
2012,Toyota,Highlander Limited,SUV,20,1,40000,0,,,,,
2020,Ford,Explorer Timberline,SUV,18,1,47000,0,,,,,
2011,Land,Rover Discovery LSE,SUV,12,1,55000,0,,,,,
2016,Jeep,Wrangler Unlimited Sahara,SUV,21,0,41400,0,,,,,
2023,Ford,Bronco Outer Banks,SUV,20,1,43000,0,,,,,
2019,Ford,F-150 Platinum,Pickup,20,1,63700,0,,,,,
2020,INFINITI,QX56 Base,SUV,19,1,65900,0,,,,,
2019,Mercedes-Benz,AMG C 63 Base,Sedan,20,1,68300,1,,,,,
2010,Toyota,Camry Hybrid XLE,Sedan,33,1,30000,0,,,,,
2021,Jeep,Wrangler Unlimited Sahara,SUV,22,1,44300,0,,,,,
2019,Audi,R8 5.2 V10 plus,Convertible,14,1,208000,1,,,,,
2016,Audi,A8 L 3.0T,Sedan,24,0,83000,0,,,,,
2015,Toyota,Highlander Limited Platinum,SUV,20,1,44990,0,,,,,
2018,Porsche,718 Cayman GTS,Coupe,20,1,80000,0,,,,,
2018,Land,Rover Discovery HSE LUXURY,SUV,21,1,61900,0,,,,,
2016,Mercedes-Benz,E-Class E 350,Sedan,21,0,53900,0,,,,,
2023,Mercedes-Benz,AMG E 53 Base 4MATIC,Sedan,21,1,75200,0,,,,,
2019,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,18,1,115000,0,,,,,
2008,Land,Rover Range Rover Autobiography,SUV,12,1,102200,1,,,,,
2023,Lexus,LC 500 Base,Coupe,19,1,94300,0,,,,,
2018,Chevrolet,Silverado 2500 High Country,Pickup,15,1,60000,0,,,,,
2012,BMW,335 i,Sedan,20,0,40000,0,,,,,
2022,Porsche,911 GT3 RS,Coupe,15,1,218000,1,,,,,
2010,GMC,Canyon Denali,Pickup,18,1,35000,0,,,,,
2011,Ford,E350 Super Duty XLT,Minivan,12,0,35000,0,,,,,
2018,BMW,M5 Base,Sedan,18,1,102600,0,,,,,
2014,Subaru,BRZ Limited,Coupe,22,1,29000,0,,,,,
2007,Acura,RDX Base,SUV,20,0,32990,0,,,,,
2023,Chevrolet,Corvette Stingray w/2LT,Coupe,20,1,68000,1,,,,,
2002,Ford,Thunderbird Deluxe,Convertible,20,0,37000,1,,,,,
2008,BMW,650 i,Convertible,15,1,85000,0,,,,,
2019,Mercedes-Benz,C-Class C 300 4MATIC,Sedan,24,1,41200,0,,,,,
2005,Acura,MDX Touring,SUV,20,1,42000,0,,,,,
2005,Chrysler,Crossfire Limited,Coupe,20,1,33990,0,,,,,
2021,Lexus,LX 570 Three-Row,SUV,18,0,86000,0,,,,,
2010,MINI,Cooper S Base,Hatchback,34,1,24000,0,,,,,
2017,Tesla,Model S P100D,Sedan,99,1,135000,1,,,,,
2021,Mazda,CX-9 Touring Plus,SUV,22,0,40705,0,,,,,
2016,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,24,1,60000,0,,,,,
2018,Mercedes-Benz,E-Class E 350,Sedan,24,1,60000,0,,,,,
2005,Porsche,Boxster Base,Convertible,21,0,45000,0,,,,,
2020,Mercedes-Benz,AMG GT C,Coupe,18,1,157000,1,,,,,
2020,INFINITI,QX60 Luxe,SUV,27,1,46000,0,,,,,
2022,Jeep,Grand Cherokee Altitude,SUV,22,0,48740,0,,,,,
2008,Mercedes-Benz,SL-Class SL550 Roadster,Convertible,15,1,108000,1,,,,,
2018,Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,Coupe,18,1,68800,0,,,,,
2018,Audi,A4 2.0T Tech Premium,Sedan,27,1,45000,0,,,,,
2014,Mercedes-Benz,C-Class C 300 4MATIC Sport,Sedan,24,1,42000,0,,,,,
2020,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,18,1,100000,0,,,,,
2023,Toyota,RAV4 Prime XSE,SUV,94,1,43500,0,,,,,
2021,Rivian,R1S Adventure Package,SUV,70,1,74900,0,,,,,
2017,Kia,Optima LX,Sedan,29,0,22700,0,,,,,
2009,Nissan,Pathfinder SL,SUV,15,0,29490,0,,,,,
2020,Chevrolet,Suburban Premier,SUV,15,1,71900,0,,,,,
2009,Ford,F-250 XLT Super Duty,Pickup,15,0,32000,0,,,,,
2003,Lamborghini,Gallardo LP560-4,Coupe,15,0,198000,1,,,,,
2017,Lexus,GX 460 Premium,SUV,15,1,53200,0,,,,,
2019,Mercedes-Benz,G-Class G 550 4MATIC,SUV,13,1,130900,1,,,,,
2021,Porsche,Macan Turbo,SUV,18,1,83700,0,,,,,
2021,Lexus,GX 460 Base,SUV,15,0,53000,0,,,,,
2019,Toyota,4Runner Limited,SUV,17,1,46900,0,,,,,
2019,Chevrolet,Corvette Stingray w/3LT,Convertible,19,1,65900,1,,,,,
2021,Land,Rover Range Rover Evoque R-Dynamic HSE,SUV,22,1,47000,0,,,,,
2007,Mercury,Marauder Base,Sedan,18,0,36000,1,,,,,
2020,Jaguar,F-TYPE V6 S,Coupe,18,1,61900,0,,,,,
2020,Tesla,Model S Performance,Sedan,100,1,99990,1,,,,,
2021,RAM,1500 Laramie,Pickup,20,1,45000,0,,,,,
2022,Dodge,Durango GT,SUV,20,0,39990,0,,,,,
2018,Chevrolet,Suburban LTZ,SUV,18,1,74000,0,,,,,
2019,Chevrolet,Colorado LT,Pickup,18,0,33500,0,,,,,
2017,Volvo,C30 T5 Premier Plus,Hatchback,25,1,28400,0,,,,,
2018,Porsche,Cayenne E-Hybrid S Platinum Edition,SUV,22,1,85000,0,,,,,
2012,Acura,ILX Technology Plus Package,Sedan,24,0,29700,0,,,,,
2021,Toyota,Tundra SR5,Pickup,13,0,38220,0,,,,,
2022,Chevrolet,Suburban Z71,SUV,21,1,63500,0,,,,,
2011,Hyundai,Genesis Coupe 3.8 Track,Coupe,19,1,31950,0,,,,,
2015,Honda,240SX Base,Sedan,25,0,25000,0,,,,,
2018,Cadillac,ATS 3.6L Luxury,Sedan,20,1,45000,0,,,,,
2016,Toyota,4Runner Limited,SUV,17,1,43605,0,,,,,
2017,GMC,Sierra 3500 Denali,Pickup,16,1,61740,0,,,,,
2006,Chevrolet,Camaro 1LT,Coupe,20,0,25760,0,,,,,
2021,Rolls-Royce,Cullinan,SUV,12,1,325000,1,,,,,
2002,Jeep,Liberty Sport,SUV,17,0,24000,0,,,,,
1999,Toyota,Land Cruiser Base,SUV,13,0,42900,0,,,,,
2013,Ford,Mustang V6 Premium,Coupe,19,1,26500,0,,,,,
2018,Hyundai,Veloster Base,Hatchback,25,0,18990,0,,,,,
2005,GMC,Sierra 1500 SL Crew Cab,Pickup,16,0,26000,0,,,,,
2021,Mercedes-Benz,GLE 350 Base 4MATIC,SUV,22,0,54900,0,,,,,
1999,Mazda,MX-5 Miata Base,Convertible,26,0,22500,0,,,,,
2018,Land,Rover Range Rover Sport 3.0L Supercharged HSE,SUV,20,1,82000,0,,,,,
2022,Toyota,Tacoma SR,Pickup,20,0,26500,0,,,,,
2016,Lexus,RC 350 Base,Coupe,20,0,42900,0,,,,,
2023,Ford,F-150 Lariat,Pickup,20,1,50000,0,,,,,
2018,Porsche,911 Turbo S,Coupe,18,1,207000,1,,,,,
2014,Acura,MDX 3.7L Advance,SUV,20,1,56000,0,,,,,
2018,Ford,Transit-350 Base,Van,15,0,35000,0,,,,,
2015,Land,Rover Range Rover Evoque Pure,SUV,21,0,41000,0,,,,,
2017,BMW,340 i,Sedan,26,1,42000,0,,,,,
2011,Jaguar,XF Premium,Sedan,19,1,60000,0,,,,,
2015,Kia,Optima Hybrid EX,Sedan,40,0,26300,0,,,,,
2021,Cadillac,Escalade Sport Platinum,SUV,17,1,130000,0,,,,,
2021,Acura,TLX V6 Advance,Sedan,22,1,45900,0,,,,,
2015,Chevrolet,Tahoe LTZ,SUV,16,1,67995,0,,,,,
2019,Audi,Q7 3.0T Prestige,SUV,21,1,73000,0,,,,,
2016,BMW,650 Gran Coupe i xDrive,Sedan,22,1,84000,0,,,,,
2013,BMW,650 Gran Coupe i,Sedan,20,1,85000,0,,,,,
2005,Lexus,ES 330 Base,Sedan,25,0,35000,0,,,,,
2016,Audi,S5 3.0T Premium Plus,Coupe,22,1,60000,0,,,,,
2010,Land,Rover LR3 HSE,SUV,14,1,50745,0,,,,,
2009,Lexus,LS 460 Crafted Line,Sedan,19,1,79900,0,,,,,
2015,Porsche,911 Carrera,Convertible,21,1,89800,1,,,,,
2018,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,19,1,103000,0,,,,,
2018,Lincoln,MKZ Reserve I,Sedan,20,1,42000,0,,,,,
2018,Land,Rover Discovery SE,SUV,21,0,59900,0,,,,,
2014,Mercedes-Benz,CLA-Class CLA 250,Sedan,26,0,32000,0,,,,,
2011,Chevrolet,Avalanche 1500 LS,Pickup,16,0,33995,0,,,,,
2023,Toyota,GR86 Premium,Coupe,22,1,33990,0,,,,,
2007,Mercedes-Benz,GL-Class GL 450 4MATIC,SUV,16,0,60900,0,,,,,
2005,Mercedes-Benz,CLK-Class 500 Cabriolet,Convertible,18,1,65000,0,,,,,
2018,BMW,M3 CS,Sedan,23,1,103000,1,,,,,
2013,RAM,2500 Laramie,Pickup,16,1,50000,0,,,,,
2014,Mercedes-Benz,GL-Class GL 450 4MATIC,SUV,20,1,67800,0,,,,,
2010,Dodge,Durango R/T,SUV,14,1,32995,0,,,,,
2014,Porsche,Panamera Base,Sedan,20,0,80000,0,,,,,
2018,Lexus,GX 460 Base,SUV,15,0,51800,0,,,,,
2015,Porsche,Macan S,SUV,20,1,60000,0,,,,,
2003,Land,Rover LR3 HSE,SUV,14,1,49000,0,,,,,
2019,BMW,750 i xDrive,Sedan,18,1,94000,0,,,,,
2003,Jeep,Wrangler Sahara,SUV,17,0,27950,0,,,,,
2020,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,17,1,113950,0,,,,,
2015,Land,Rover LR4 HSE LUX Landmark Edition,SUV,18,1,60800,0,,,,,
2014,RAM,1500 SLT,Pickup,21,0,40745,0,,,,,
2021,Toyota,Highlander Limited,SUV,21,1,40500,0,,,,,
2007,Chevrolet,Equinox LT,SUV,24,0,25000,0,,,,,
2013,Subaru,BRZ Limited,Coupe,22,1,29995,0,,,,,
2014,GMC,Terrain SLT-1,SUV,22,1,29085,0,,,,,
2003,Mitsubishi,Eclipse GS,Coupe,20,0,23000,0,,,,,
2022,Mercedes-Benz,C-Class C300 4MATIC,Sedan,26,1,43600,0,,,,,
2020,Toyota,Sequoia Limited,SUV,13,1,61200,0,,,,,
2006,Porsche,911 Carrera Cabriolet,Convertible,19,1,81100,1,,,,,
2022,GMC,Acadia Denali,SUV,20,1,52000,0,,,,,
2021,Ford,F-250 XLT,Pickup,22,0,45000,0,,,,,
2007,Land,Rover Range Rover Sport HSE,SUV,14,1,57000,0,,,,,
2020,BMW,X5 M50i,SUV,17,1,82500,0,,,,,
2016,Alfa,Romeo Giulia Ti,Sedan,28,0,39900,0,,,,,
2016,Nissan,GT-R Premium,Coupe,16,1,101700,0,,,,,
2018,Kia,Optima EX,Sedan,28,1,29000,0,,,,,
2020,RAM,1500 Laramie,Pickup,20,1,40000,0,,,,,
2011,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,18,0,56500,0,,,,,
2014,Volkswagen,Golf R 4-Door w/DCC & Navigation,Hatchback,26,0,35900,0,,,,,
2010,Lexus,RX 350 Base,SUV,20,0,38500,0,,,,,
2011,Mercedes-Benz,Sprinter 2500,Van,20,0,35000,0,,,,,
2018,Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,SUV,15,1,110000,0,,,,,
2013,McLaren,570S Base,Coupe,24,1,192000,0,,,,,
2010,Subaru,BRZ Limited,Coupe,25,1,29995,0,,,,,
2016,Ford,Mustang V6,Coupe,22,0,25950,0,,,,,
2010,Lexus,IS 250C Base,Convertible,20,0,39000,0,,,,,
2020,Hyundai,Palisade SEL,SUV,21,0,39500,0,,,,,
2018,Chevrolet,Camaro 2SS,Coupe,20,1,42000,0,,,,,
2019,Toyota,GR86 Base,Coupe,24,0,28500,0,,,,,
2009,Jaguar,XK8 Base,Convertible,18,0,81000,0,,,,,
2017,BMW,M3 Base,Sedan,17,1,65000,1,,,,,
2017,Ford,E150 XLT,Minivan,15,0,30000,0,,,,,
2018,Land,Rover Defender S,SUV,15,0,45000,1,,,,,
2023,BMW,M4 Base,Coupe,16,1,72000,0,,,,,
2016,Mercedes-Benz,S-Class S 560 4MATIC,Sedan,20,1,100000,0,,,,,
2018,Ford,Transit-350 XLT,Minivan,15,0,35000,0,,,,,
2004,Chevrolet,Corvette Base,Coupe,18,1,49995,1,,,,,
2011,Mercedes-Benz,CLK-Class 550,Coupe,16,0,65000,0,,,,,
2012,Ford,Fusion SE,Sedan,24,0,25000,0,,,,,
2018,Maserati,Ghibli S Q4,Sedan,15,1,80000,0,,,,,
2014,Audi,A4 2.0T Premium Plus,Sedan,24,1,43000,0,,,,,
2017,Ford,Mustang V6,Coupe,18,0,25000,0,,,,,
2014,INFINITI,Q70 3.7,Sedan,20,0,51500,0,,,,,
2017,Volkswagen,Golf Auto TSI S,Hatchback,36,0,20000,0,,,,,
2002,Chevrolet,Camaro Z28,Coupe,18,1,23000,0,,,,,
2019,Jeep,Wrangler Unlimited Sahara,SUV,21,1,44845,0,,,,,
2015,Lincoln,MKC Reserve,SUV,21,1,40000,0,,,,,
2022,Rivian,R1S Launch Edition,SUV,75,1,74900,0,,,,,
2022,Tesla,Model X Long Range,SUV,100,1,94990,0,,,,,
2018,Mercedes-Benz,AMG E 63 S 4MATIC,Sedan,24,1,107000,1,,,,,
2020,Mercedes-Benz,AMG GT 53 Base,Sedan,20,1,99500,0,,,,,
2018,Lexus,RX 350 F Sport Performance,SUV,20,1,47000,0,,,,,
2013,BMW,535 i xDrive,Sedan,24,1,61000,0,,,,,
2014,Toyota,C-HR LE,SUV,25,0,24000,0,,,,,
2019,Chevrolet,Tahoe Premier,SUV,18,1,68000,0,,,,,
2001,Ford,Excursion Limited,SUV,12,1,52995,0,,,,,
2017,Lexus,LS 460 Crafted Line,Sedan,19,1,75000,0,,,,,
2016,RAM,2500 Big Horn,Pickup,16,0,44000,0,,,,,
2014,Porsche,Panamera Turbo,Sedan,18,1,149600,1,,,,,
2022,Chevrolet,Camaro Z28,Coupe,22,1,40000,1,,,,,
2002,Lexus,RX 300 Base,SUV,19,0,35000,0,,,,,
2020,Nissan,Maxima SL,Sedan,20,1,42000,0,,,,,
2022,RAM,2500 Big Horn,Pickup,15,0,45000,0,,,,,
2018,Chevrolet,Corvette Grand Sport,Coupe,21,1,65700,1,,,,,
2023,Kia,Telluride LX,SUV,20,0,35000,0,,,,,
2017,Subaru,WRX Limited,Sedan,20,1,36000,0,,,,,
2015,Audi,A7 3.0T Premium Plus,Sedan,28,1,69400,0,,,,,
2017,Ford,F-350 XLT,Pickup,18,0,35000,0,,,,,
2019,Genesis,G90 3.3T Premium,Sedan,19,1,75000,0,,,,,
2003,Porsche,911 Carrera C2S,Coupe,19,1,78900,1,,,,,
2020,Toyota,Highlander Platinum,SUV,21,1,49000,0,,,,,
2022,Audi,RS 7 4.0T Prestige,Sedan,18,1,114000,0,,,,,
2004,Mercedes-Benz,SL-Class SL500 Roadster,Convertible,20,1,102000,1,,,,,
2004,Mercedes-Benz,Sprinter 2500,Van,20,0,30000,0,,,,,
2008,Mercedes-Benz,E-Class E 350,Sedan,20,0,53300,0,,,,,
2023,Porsche,911 GT3 RS,Coupe,16,1,223800,1,,,,,
2021,Chevrolet,Suburban LT,SUV,20,1,60000,0,,,,,
2008,Toyota,Corolla CE,Sedan,28,0,18000,0,,,,,
2012,Nissan,Frontier SV,Pickup,16,0,25640,0,,,,,
2022,Lexus,GX 460 Premium,SUV,19,1,53000,0,,,,,
2020,Chevrolet,Silverado 1500 RST,Pickup,20,0,53400,0,,,,,
2014,Mercedes-Benz,E-Class E 550,Sedan,24,1,70000,0,,,,,
2015,BMW,M6 Base,Coupe,15,1,113000,1,,,,,
2021,Mercedes-Benz,AMG C 63 Base,Sedan,19,1,70000,0,,,,,
2006,Cadillac,DTS Luxury II,Sedan,20,0,45000,0,,,,,
2012,Lexus,LS 460 L,Sedan,19,0,73800,0,,,,,
2011,Jeep,Wrangler Unlimited Rubicon,SUV,16,1,32000,0,,,,,
2011,Hyundai,Tucson SE,SUV,26,0,24900,0,,,,,
2009,Ford,Mustang Premium,Coupe,18,1,30000,0,,,,,
2013,Mercedes-Benz,E-Class E 350,Sedan,20,1,51600,0,,,,,
2003,Toyota,Avalon Limited,Sedan,20,1,32900,0,,,,,
2022,Jeep,Gladiator Sport,Pickup,22,0,43000,0,,,,,
2014,Mazda,MX-5 Miata Grand Touring,Convertible,27,1,29900,0,,,,,
2015,BMW,M4 Base,Coupe,20,1,65000,1,,,,,
2013,BMW,328 i xDrive,Sedan,28,0,40800,0,,,,,
2020,Mercedes-Benz,M8 Base,Sedan,20,1,130000,0,,,,,
2018,Land,Rover Range Rover Evoque SE,SUV,24,0,41800,0,,,,,
2006,Nissan,350Z Enthusiast,Coupe,20,0,29200,0,,,,,
2017,Land,Rover Discovery HSE LUXURY,SUV,18,1,59995,0,,,,,
2019,BMW,M4 Base,Coupe,20,1,70900,1,,,,,
2019,Audi,A6 2.0T Premium Plus,Sedan,25,1,59800,0,,,,,
2004,Toyota,Camry Solara SE,Coupe,22,0,24200,0,,,,,
2019,Chevrolet,Camaro 1LT,Coupe,26,0,25300,0,,,,,
2016,Mazda,CX-9 Touring Plus,SUV,22,1,36000,0,,,,,
2021,Mercedes-Benz,AMG GT C,Coupe,15,1,165000,1,,,,,
2017,BMW,328 i,Sedan,28,0,34000,0,,,,,
2011,INFINITI,G37 Journey,Sedan,21,0,38000,0,,,,,
2008,Nissan,Maxima GLE,Sedan,20,0,29000,0,,,,,
2005,Mercedes-Benz,S-Class S500,Sedan,18,1,77875,0,,,,,
2017,Lexus,IS 350 Base,Sedan,25,0,40000,0,,,,,
2017,Mitsubishi,Outlander Sport ES,SUV,24,0,20500,0,,,,,
2018,Jeep,Wrangler Sport,SUV,17,0,28445,0,,,,,
2021,Jeep,Grand Cherokee Laredo,SUV,19,0,35000,0,,,,,
2018,Lincoln,MKX Reserve,SUV,21,1,60000,0,,,,,
2011,Ford,Focus SE,Sedan,28,0,19000,0,,,,,
2016,Acura,ILX Technology Plus Package,Sedan,25,1,30000,0,,,,,
2022,Ford,F-150 Lightning LARIAT,Pickup,70,1,59999,0,,,,,
2011,Dodge,Ram 1500 ST,Pickup,15,0,22995,0,,,,,
2003,Acura,Integra LS,Sedan,28,0,19800,0,,,,,
2021,RAM,2500 Tradesman,Pickup,15,0,35000,0,,,,,
2014,INFINITI,G37 Journey,Sedan,20,0,41650,0,,,,,
2022,Audi,S6 4.0T,Sedan,20,1,75000,0,,,,,
2003,Porsche,Boxster S,Convertible,20,1,60000,0,,,,,
2007,Nissan,Murano SL,SUV,20,0,32500,0,,,,,
2022,Mercedes-Benz,AMG C 43 Base 4MATIC,Coupe,23,1,60000,0,,,,,
2007,Chevrolet,Suburban 1500 LTZ,SUV,15,1,55000,0,,,,,
2018,Chevrolet,Silverado 1500 1LT,Pickup,18,0,32700,0,,,,,
2019,Ford,Explorer XLT,SUV,20,0,34490,0,,,,,
2019,Audi,Q7 55 Prestige,SUV,21,1,72600,0,,,,,
2015,Maserati,Ghibli S Q4,Sedan,15,1,77000,0,,,,,
2020,Mazda,CX-30 Premium Package,SUV,25,1,29000,0,,,,,
2002,Jeep,Wrangler Sport,SUV,18,0,23500,0,,,,,
2011,INFINITI,QX60 Base,SUV,20,0,45000,0,,,,,
2014,Ford,Fusion SE,Sedan,22,0,22000,0,,,,,
2009,Lexus,ES 350 Base,Sedan,19,0,34250,0,,,,,
2011,Mazda,MazdaSpeed3 Grand Touring,Hatchback,20,1,28700,0,,,,,
2022,Audi,Q3 S line Premium Plus,SUV,22,1,38400,0,,,,,
2011,Rolls-Royce,Ghost Base,Sedan,12,0,245000,1,,,,,
2011,Subaru,Legacy 2.5 i Premium,Sedan,20,0,23995,0,,,,,
2018,Audi,Q7 3.0T Prestige,SUV,21,1,70000,0,,,,,
2017,Dodge,Charger R/T 392,Sedan,18,1,42000,0,,,,,
1997,Porsche,Boxster Base,Convertible,20,0,40000,1,,,,,
2024,Mercedes-Benz,AMG GT 53 Base,Coupe,20,1,104900,0,,,,,
2022,Chevrolet,Silverado 1500 1LZ,Pickup,22,1,55000,0,,,,,
2020,Mercedes-Benz,AMG G 63 4MATIC,SUV,13,1,157000,1,,,,,
2011,BMW,335 i xDrive,Sedan,19,1,42000,0,,,,,
2016,Audi,Q3 2.0T Premium Plus,SUV,20,1,35000,0,,,,,
2019,Ford,Expedition Max King Ranch,SUV,21,1,74000,0,,,,,
2011,Cadillac,CTS Luxury,Sedan,18,0,41000,0,,,,,
2023,Porsche,911 Carrera,Coupe,20,1,103000,1,,,,,
2003,Porsche,911 Carrera 4S,Coupe,18,1,86900,1,,,,,
2019,BMW,330 i xDrive,Sedan,30,1,42500,0,,,,,
2003,Jeep,Cherokee Sport,SUV,16,0,24000,0,,,,,
2007,Ford,F-250 XLT SuperCab Super Duty,Pickup,17,0,30300,0,,,,,
2012,Toyota,Corolla CE,Sedan,26,0,18000,0,,,,,
2011,Lexus,IS 350 Base,Sedan,20,0,35150,0,,,,,
2015,BMW,428 i xDrive SULEV,Coupe,28,0,43900,0,,,,,
2012,Chevrolet,Suburban 1500 LTZ,SUV,15,1,62650,0,,,,,
2014,Ford,Mustang GT Premium,Coupe,15,1,30400,0,,,,,
2013,Hyundai,Sonata SE,Sedan,29,0,22500,0,,,,,
2015,Lexus,RC 350 Base,Coupe,20,0,41900,0,,,,,
2015,Mercedes-Benz,E-Class E 350 4MATIC,Sedan,20,0,58900,0,,,,,
2015,BMW,650 Gran Coupe i xDrive,Sedan,18,1,84000,0,,,,,
2016,Volkswagen,Jetta 1.4T SE,Sedan,30,0,21600,0,,,,,
2019,Lexus,GX 460 Premium,SUV,19,1,52900,0,,,,,
2022,Dodge,Challenger SRT Hellcat,Coupe,15,1,62500,1,,,,,
2021,BMW,X3 xDrive30i,SUV,25,1,42600,0,,,,,
2019,Toyota,Highlander XLE,SUV,21,1,40115,0,,,,,
2018,Porsche,911 Turbo,Coupe,18,1,150000,1,,,,,
2011,Land,Rover LR4 Lux,SUV,12,1,51100,0,,,,,
2022,Mercedes-Benz,GLC 300 GLC 300,SUV,24,0,43000,0,,,,,
2017,Jaguar,F-TYPE R,Coupe,18,1,102600,0,,,,,
2012,Audi,A5 2.0T Premium,Coupe,27,1,39400,0,,,,,
2018,Jeep,Wrangler 80th Anniversary,SUV,21,0,38345,0,,,,,
2011,Lexus,LS 460 L,Sedan,16,1,80000,0,,,,,
2022,Mercedes-Benz,GLS 450 Base 4MATIC,SUV,20,1,80000,0,,,,,
2011,Nissan,Versa 1.8 S,Sedan,26,0,14500,0,,,,,
2017,GMC,Canyon Denali,Pickup,20,1,40000,0,,,,,
2019,Land,Rover Range Rover 3.0L V6 Supercharged HSE,SUV,18,1,91900,0,,,,,
2007,Chevrolet,Avalanche 1500 LT,Pickup,14,1,34000,0,,,,,
2018,Tesla,Model 3 Long Range,Sedan,133,1,54900,0,,,,,
2021,Chevrolet,Corvette Stingray w/3LT,Coupe,19,1,59900,1,,,,,
2011,Lexus,GX 460 Premium,SUV,18,1,60000,0,,,,,
2018,Lexus,IS 300 Base,Sedan,22,0,38450,0,,,,,
2019,Ford,Mustang Mach-E Premium,SUV,0,1,60000,0,,,,,
2013,Nissan,Juke SV,SUV,28,0,22000,0,,,,,
2018,Mercedes-Benz,AMG GT R,Coupe,15,1,162900,1,,,,,
2020,BMW,M4 Base,Coupe,20,1,70800,0,,,,,
2011,GMC,Acadia SLT-1,SUV,16,0,38500,0,,,,,
2021,Ford,Bronco Wildtrak Advanced,SUV,18,1,48000,1,,,,,
2016,Bentley,Continental GT V8 S,Coupe,18,1,232600,0,,,,,
2017,Porsche,911 Carrera GTS,Coupe,18,1,136000,1,,,,,
2012,Jeep,Wrangler Sahara,SUV,17,0,30995,0,,,,,
2021,Chevrolet,Corvette Z06,Convertible,15,1,85000,1,,,,,
2022,Mercedes-Benz,A-Class A 220 4MATIC,Sedan,29,0,33600,0,,,,,
2006,Porsche,Cayenne Base,SUV,20,0,43000,0,,,,,
2019,Lexus,RX 350 Base,SUV,20,0,43350,0,,,,,
2023,Land,Rover Range Rover Evoque R-Dynamic HSE,SUV,24,1,59000,0,,,,,
2017,Tesla,Model X 75D,SUV,90,1,85000,0,,,,,
2000,Mercedes-Benz,E-Class E500,Sedan,18,1,66525,0,,,,,
2015,Cadillac,Escalade ESV Platinum,SUV,15,1,85000,0,,,,,
2020,Mercedes-Benz,A-Class A 220 4MATIC,Sedan,24,0,35000,0,,,,,
2018,Lincoln,MKC Select,SUV,24,1,38000,0,,,,,
2018,Porsche,Taycan 4S,Sedan,96,1,103800,0,,,,,
2018,Subaru,WRX Premium,Sedan,20,1,30000,0,,,,,
2004,Jeep,Wrangler X,SUV,18,0,20800,0,,,,,
2011,Jeep,Grand Cherokee Limited,SUV,18,1,43000,0,,,,,
